dataset, variable
BaSoil1998, Ts_115_60
BaSoil1998, Ts_145_6
BaSoil1998, Ts_145_24
BaSoil1998, Ts_145_40
BaSoil1998, Ts_145_62
BaSoil1998, Ts_151_76
BaSoil1998, Ts_145_99
BaSoil1998, Ts_135_112
BaSoil1998, Ts_135_125_v
BaSoil1998, Ts_169_9
BaSoil1998, Ts_177_19
BaSoil1998, Ts_185_52
BaSoil1998, Ts_204_5
BaSoil1998, Ts_205_13
BaSoil1998, Ts_205_31
BaSoil1998, Ts_210_50
BaSoil1998, Ts_205_61
BaSoil1998, Ts_205_90
BaSoil1998, Ts_200_114
BaSoil1998, Ts_200_118_v
BaSoil1998, vwc_80_1
BaSoil1998, vwc_90_16
BaSoil1998, vwc_90_32
BaSoil1998, vwc_85_39
BaSoil1998, vwc_90_66
BaSoil1998, vwc_90_90
BaSoil1998, vwc_95_99
BaSoil1998, vwc_95_113
BaSoil1998, vwc_95_120_v
BaSoil1998, vwc_114_6
BaSoil1998, vwc_115_22
BaSoil1998, vwc_110_59
BaSoil1998, vwc_140_6
BaSoil1998, vwc_140_23
BaSoil1998, vwc_140_39
BaSoil1998, vwc_140_62
BaSoil1998, vwc_146_76
BaSoil1998, vwc_140_98
BaSoil1998, vwc_135_112
BaSoil1998, vwc_135_127_v
BaSoil1998, vwc_174_8
BaSoil1998, vwc_172_20
BaSoil1998, vwc_180_54
BaSoil1998, vwc_204_5
BaSoil1998, vwc_200_13
BaSoil1998, vwc_200_31
BaSoil1998, vwc_205_51
BaSoil1998, vwc_200_61
BaSoil1998, vwc_200_90
BaSoil1998, vwc_200_114
BaSoil1998, vwc_200_121_v
BaSoil1998, cond_80_1
BaSoil1998, cond_sn_67_0_v
BaSoil1998, cond_90_16
BaSoil1998, cond_90_32
BaSoil1998, cond_85_39
BaSoil1998, cond_90_66
BaSoil1998, cond_90_90
BaSoil1998, cond_95_99
BaSoil1998, cond_95_113
BaSoil1998, cond_95_120_v
BaSoil1998, cond_114_6
BaSoil1998, cond_115_22
BaSoil1998, cond_110_59
BaSoil1998, cond_140_6
BaSoil1998, cond_140_23
BaSoil1998, cond_140_39
BaSoil1998, cond_140_62
BaSoil1998, cond_146_76
BaSoil1998, cond_140_98
BaSoil1998, cond_135_112
BaSoil1998, cond_135_127_v
BaSoil1998, cond_174_8
BaSoil1998, cond_172_20
BaSoil1998, cond_180_54
BaSoil1998, cond_204_5
BaSoil1998, cond_200_13
BaSoil1998, cond_200_31
BaSoil1998, cond_205_51
BaSoil1998, cond_200_61
BaSoil1998, cond_200_90
BaSoil1998, cond_200_114
BaSoil1998, cond_200_121_v
BaSoil1998, cond_a
BaSoil1998, cond_b
BaSoil1998, cond_c
BaSoil1998, E2_80_1
BaSoil1998, E2_sn_67_0_v
BaSoil1998, E2_90_16
BaSoil1998, E2_90_32
BaSoil1998, E2_85_39
BaSoil1998, E2_90_66
BaSoil1998, E2_90_90
BaSoil1998, E2_95_99
BaSoil1998, E2_95_113
BaSoil1998, E2_95_120_v
BaSoil1998, E2_114_6
BaSoil1998, E2_115_22
BaSoil1998, E2_110_59
BaSoil1998, E2_140_6
BaSoil1998, E2_140_23
BaSoil1998, E2_140_39
BaSoil1998, E2_140_62
BaSoil1998, E2_146_76
BaSoil1998, E2_140_98
BaSoil1998, E2_135_112
BaSoil1998, E2_135_127_v
BaSoil1998, E2_174_8
BaSoil1998, E2_172_20
BaSoil1998, E2_180_54
BaSoil1998, E2_204_5
BaSoil1998, E2_200_13
BaSoil1998, E2_200_31
BaSoil1998, E2_205_51
BaSoil1998, E2_200_61
BaSoil1998, E2_200_90
BaSoil1998, E2_200_114
BaSoil1998, E2_200_121_v
BaSoil2009, Ts_1
BaSoil2009, Ts_11
BaSoil2009, Ts_21
BaSoil2009, Ts_37
BaSoil2009, Ts_55
BaSoil2009, Ts_71
BaSoil2009, Ts_89
BaSoil2009, Ts_141
BaSoil2009, E2_h_1
BaSoil2009, E2_h_11
BaSoil2009, E2_h_21
BaSoil2009, E2_h_37
BaSoil2009, E2_h_55
BaSoil2009, E2_h_71
BaSoil2009, E2_h_89
BaSoil2009, E2_sn_v_0
BaSoil2009, cond_h_1
BaSoil2009, cond_h_11
BaSoil2009, cond_h_21
BaSoil2009, cond_h_37
BaSoil2009, cond_h_55
BaSoil2009, cond_h_71
BaSoil2009, cond_h_89
BaSoil2009, cond_sn_v_0
BaSoil2009, vwc_h_1
BaSoil2009, vwc_h_11
BaSoil2009, vwc_h_21
BaSoil2009, vwc_h_37
BaSoil2009, vwc_h_55
BaSoil2009, vwc_h_71
BaSoil2009, vwc_h_89
BaSoil2017, G_1
BaSoil2017, G_2
BaHole2009, Tair_50
BaHole2009, Ts_0
BaHole2009, Ts_50
BaHole2009, Ts_100
BaHole2009, Ts_150
BaHole2009, Ts_250
BaHole2009, Ts_350
BaHole2009, Ts_550
BaHole2009, Ts_750
BaHole2009, Ts_900
BaHole2015, Ts_0
BaHole2015, Ts_50
BaHole2015, Ts_100
BaHole2015, Ts_150
BaHole2015, Ts_200
BaHole2015, Ts_250
BaHole2015, Ts_350
BaHole2015, Ts_550
BaHole2015, Ts_750
BaHole2015, Ts_900
BaSnow2013, Dsn
BaSnow2019sr, Tair_200
BaSnow2019sr, Dsn
BaSnow2019cs, CountsK
BaSnow2019cs, CountsTl
BaSnow2019cs, SWE_K
BaSnow2019cs, KTl_Ratio
BaSnow2019cs, SWE_Tl
BaSnow2019cs, Tcryst_min
BaSnow2019cs, Tcryst_max
BaSnow2019cs, Dsn
BaSnow2019cs, rho_K
BaEddy2007, Dsn
KuQ12013, WT
KuQ12013, Q
KuLucky22014, Tw_unknown
KuLucky22014, P
KuLucky22014, WT
KuLucky22014, WTch
KuLucky12013, Tw_0
KuLucky12013, Tw_0.5
KuLucky12013, Tw_1
KuLucky12013, Tw_1.5
KuLucky12013, Tw_2
KuLucky12013, Tw_2.5
KuLucky12013, Tw_unknown
KuLucky2013, Tw_unknown
KuLucky2013, P
KuLucky2013, WT
KuLucky2013, WTch
SdHole2009, Ts_0
SdHole2009, Ts_40
SdHole2009, Ts_80
SdHole2009, Ts_120
SdHole2009, Ts_160
SdHole2009, Ts_200
SdHole2009, Ts_250
SdHole2009, Ts_300
SdHole2009, Ts_400
SdHole2009, Ts_500
SdHole2009, Ts_700
SdHole2009, Ts_900
SdHole2009, Ts_1100
SdHole2009, Ts_1300
SdHole2009, Ts_1500
SdHole2009, Ts_2000
SdHole2009, Ts_3000
SdHole2009, Ts_4000
SdHole2009, Ts_5000
SdHole2009, Ts_6000
SdHole2009, Ts_7000
SdHole2009, Ts_8000
SdHole2009, Ts_9000
SdHole2009, Ts_10000
SaMet1998, Tair_50
SaMet1998, Tair_200
SaMet1998, RH_50
SaMet1998, RH_200
SaMet1998, prec
SaMet1998, Dsn
SaMet1998, wind_v_300
SaMet1998, wind_deg_300
SaMet1998, NetRad
SaSoil1998, G_5
SaSoil1998, G_52
SaSoil1998, Ts_cen_7
SaSoil1998, Ts_G_5
SaSoil1998, Ts_cen_13
SaSoil1998, Ts_cen_23
SaSoil1998, Ts_cen_32
SaSoil1998, Ts_cen_42
SaSoil1998, Ts_rim_9
SaSoil1998, Ts_rim_15
SaSoil1998, Ts_rim_28
SaSoil1998, Ts_rim_37
SaSoil1998, Ts_rim_47
SaSoil1998, Ts_rim_58
SaSoil1998, E2_cen_7
SaSoil1998, E2_cen_13
SaSoil1998, E2_cen_23
SaSoil1998, E2_cen_32
SaSoil1998, E2_cen_42
SaSoil1998, E2_rim_9
SaSoil1998, E2_rim_15
SaSoil1998, E2_rim_28
SaSoil1998, E2_rim_37
SaSoil1998, E2_rim_47
SaSoil1998, E2_rim_58
SaSoil1998, E2_lys1
SaSoil1998, E2_lys2
SaSoil1998, E2_v_0
SaSoil1998, E2_sn_0
SaSoil1998, vwc_cen_7
SaSoil1998, vwc_cen_13
SaSoil1998, vwc_cen_23
SaSoil1998, vwc_cen_32
SaSoil1998, vwc_cen_42
SaSoil1998, vwc_rim_9
SaSoil1998, vwc_rim_15
SaSoil1998, vwc_rim_28
SaSoil1998, vwc_rim_37
SaSoil1998, vwc_rim_47
SaSoil1998, vwc_rim_58
SaSoil1998, vwc_lys1
SaSoil1998, vwc_lys2
SaSoil1998, vwc_v_0
SaSoil2002, G_center
SaSoil2002, G_rim
SaSoil2002, Ts_center_1
SaSoil2002, Ts_center_5
SaSoil2002, Ts_center_10
SaSoil2002, Ts_center_20
SaSoil2002, Ts_center_30
SaSoil2002, Ts_center_40
SaSoil2002, Ts_slope_3
SaSoil2002, Ts_slope_7
SaSoil2002, Ts_slope_16
SaSoil2002, Ts_slope_22
SaSoil2002, Ts_slope_32
SaSoil2002, Ts_slope_42
SaSoil2002, Ts_rim_2
SaSoil2002, Ts_rim_6
SaSoil2002, Ts_rim_11
SaSoil2002, Ts_rim_16
SaSoil2002, Ts_rim_21
SaSoil2002, Ts_rim_27
SaSoil2002, Ts_rim_33
SaSoil2002, Ts_rim_38
SaSoil2002, Ts_rim_51
SaSoil2002, Ts_rim_61
SaSoil2002, Ts_rim_71
SaSoil2002, Ts_icew_41
SaSoil2002, Ts_icew_61
SaSoil2002, Ts_icew_91
SaSoil2002, Ts_icew_121
SaSoil2002, Ts_icew_151
SaSoil2002, Ts_icew_181
SaSoil2002, Ts_icew_211
SaSoil2002, Ts_icew_241
SaSoil2002, Ts_icew_271
SaSoil2002, Tgs
SaSoil2002, Dsn
SaSoil2002, E2_center_8
SaSoil2002, E2_center_13
SaSoil2002, E2_center_23
SaSoil2002, E2_center_33
SaSoil2002, E2_center_43
SaSoil2002, E2_slope_5
SaSoil2002, E2_slope_14
SaSoil2002, E2_slope_23
SaSoil2002, E2_slope_33
SaSoil2002, E2_slope_43
SaSoil2002, E2_rim_5
SaSoil2002, E2_rim_12
SaSoil2002, E2_rim_15
SaSoil2002, E2_rim_22
SaSoil2002, E2_rim_26
SaSoil2002, E2_rim_34
SaSoil2002, E2_rim_37
SaSoil2002, E2_rim_50
SaSoil2002, E2_rim_60
SaSoil2002, E2_rim_70
SaSoil2002, cond_center_8
SaSoil2002, cond_center_13
SaSoil2002, cond_center_23
SaSoil2002, cond_center_33
SaSoil2002, cond_center_43
SaSoil2002, cond_slope_5
SaSoil2002, cond_slope_14
SaSoil2002, cond_slope_23
SaSoil2002, cond_slope_33
SaSoil2002, cond_slope_43
SaSoil2002, cond_rim_5
SaSoil2002, cond_rim_12
SaSoil2002, cond_rim_15
SaSoil2002, cond_rim_22
SaSoil2002, cond_rim_26
SaSoil2002, cond_rim_34
SaSoil2002, cond_rim_37
SaSoil2002, cond_rim_50
SaSoil2002, cond_rim_60
SaSoil2002, cond_rim_70
SaSoil2002, vwc_center_8
SaSoil2002, vwc_center_13
SaSoil2002, vwc_center_23
SaSoil2002, vwc_center_33
SaSoil2002, vwc_center_43
SaSoil2002, vwc_slope_5
SaSoil2002, vwc_slope_14
SaSoil2002, vwc_slope_23
SaSoil2002, vwc_slope_33
SaSoil2002, vwc_slope_43
SaSoil2002, vwc_rim_5
SaSoil2002, vwc_rim_12
SaSoil2002, vwc_rim_15
SaSoil2002, vwc_rim_22
SaSoil2002, vwc_rim_26
SaSoil2002, vwc_rim_34
SaSoil2002, vwc_rim_37
SaSoil2002, vwc_rim_50
SaSoil2002, vwc_rim_60
SaSoil2002, vwc_rim_70
SaSoil2012, Tair_70
SaSoil2012, Ts_cen_5
SaSoil2012, Ts_cen_15
SaSoil2012, Ts_cen_28
SaSoil2012, Ts_cen_45
SaSoil2012, Ts_cen_52
SaSoil2012, Ts_cen_72
SaSoil2012, Ts_cen_90
SaSoil2012, Ts_cen_100
SaSoil2012, Ts_rim_1
SaSoil2012, Ts_rim_7
SaSoil2012, Ts_rim_22
SaSoil2012, Ts_rim_38
SaSoil2012, Ts_rim_52
SaSoil2012, Ts_rim_69
SaSoil2012, Ts_rim_95
SaSoil2012, Ts_rim_104
SaSoil2012, SwIn_cen
SaSoil2012, SwIn_rim
SaSoil2012, SwOut_cen
SaSoil2012, SwOut_rim
SaSoil2012, LwIn_cen
SaSoil2012, LwIn_rim
SaSoil2012, LwOut_cen
SaSoil2012, LwOut_rim
SaSoil2012, G_cen_13
SaSoil2012, G_cen_95
SaSoil2012, G_rim_13
SaSoil2012, G_rim_98
SaSoil2012, Dsn
SaSoil2012, WT_cen_1
SaSoil2012, WT_cen_2
SaSoil2012, WT_rim_1
SaSoil2012, E2_sn_5
SaSoil2012, E2_sn_20
SaSoil2012, E2_cen_v_16
SaSoil2012, E2_cen_14
SaSoil2012, E2_cen_44
SaSoil2012, E2_cen_72
SaSoil2012, E2_cen_95
SaSoil2012, E2_rim_v_22
SaSoil2012, E2_rim_9
SaSoil2012, E2_rim_24
SaSoil2012, E2_rim_38
SaSoil2012, E2_rim_52
SaSoil2012, E2_rim_100
SaSoil2012, cond_sn_5
SaSoil2012, cond_sn_20
SaSoil2012, cond_cen_v_16
SaSoil2012, cond_cen_14
SaSoil2012, cond_cen_44
SaSoil2012, cond_cen_72
SaSoil2012, cond_cen_95
SaSoil2012, cond_rim_v_22
SaSoil2012, cond_rim_9
SaSoil2012, cond_rim_24
SaSoil2012, cond_rim_38
SaSoil2012, cond_rim_52
SaSoil2012, cond_rim_100
SaSoil2012, vwc_cen_v_16
SaSoil2012, vwc_cen_14
SaSoil2012, vwc_cen_44
SaSoil2012, vwc_cen_72
SaSoil2012, vwc_cen_95
SaSoil2012, vwc_rim_v_22
SaSoil2012, vwc_rim_9
SaSoil2012, vwc_rim_24
SaSoil2012, vwc_rim_38
SaSoil2012, vwc_rim_52
SaSoil2012, vwc_rim_100
SaSoil2012, tcond_cen_45
SaSoil2012, tcond_cen_95
SaSoil2012, tcond_rim_16
SaSoil2012, tcond_rim_99
SaSoil2012, td_cen_45
SaSoil2012, td_cen_95
SaSoil2012, td_rim_16
SaSoil2012, td_rim_99
SaSoil2012, Cv_cen_45
SaSoil2012, Cv_cen_95
SaSoil2012, Cv_rim_16
SaSoil2012, Cv_rim_99
SaMet2002, Tair_a_200
SaMet2002, Tair_a_50
SaMet2002, Tair_b_200
SaMet2002, Tair_b_50
SaMet2002, RH_200
SaMet2002, RH_50
SaMet2002, wind_v_300
SaMet2002, wind_deg_300
SaMet2002, wind_sddeg_300
SaMet2002, wind_vmax_300
SaMet2002, wind_vmin_300
SaMet2002, prec
SaMet2002, PA
SaMet2002, SwIn
SaMet2002, SwOut
SaMet2002, LwIn
SaMet2002, LwOut
SaMet2002, SwNet
SaMet2002, LwNet
SaMet2002, Albedo
SaMet2002, RadNet
SaMet2002, Ts_1
SaMet2002, Ts_3
SaMet2002, Ts_6
SaMet2002, WT
SaMet2002, WL
SaHole2006, Tair_0
SaHole2006, Ts_75
SaHole2006, Ts_175
SaHole2006, Ts_275
SaHole2006, Ts_375
SaHole2006, Ts_475
SaHole2006, Ts_575
SaHole2006, Ts_675
SaHole2006, Ts_775
SaHole2006, Ts_875
SaHole2006, Ts_975
SaHole2006, Ts_1075
SaHole2006, Ts_1175
SaHole2006, Ts_1275
SaHole2006, Ts_1375
SaHole2006, Ts_1475
SaHole2006, Ts_1575
SaHole2006, Ts_1675
SaHole2006, Ts_1775
SaHole2006, Ts_1875
SaHole2006, Ts_2075
SaHole2006, Ts_2275
SaHole2006, Ts_2475
SaHole2006, Ts_2675
SaHole2010, Ts_1
SaHole2010, Ts_2
SaHole2010, Ts_3
SaHole2010, Ts_4
SaHole2010, Ts_5
SaHole2010, Ts_6
SaHole2010, Ts_7
SaHole2010, Ts_8
SaHole2018, Ts_1
SaHole2018, Ts_2
SaHole2018, Ts_3
SaHole2018, Ts_4
SaHole2018, Ts_5
SaHole2018, Ts_6
SaHole2018, Ts_7
SaHole2018, Ts_8
SaHole2018, Ts_9
SaHole2018, Ts_10
SaHole2018, Ts_11
SaHole2018, Ts_12
SaHole2018, Ts_13
SaHole2018, Ts_14
SaHole2018, Ts_15
SaHole2018, Ts_16
SaHole2018, Ts_17
SaHole2018, Ts_18
SaHole2018, Ts_19
SaHole2018, Ts_20
SaHole2018, Ts_22
SaHole2018, Ts_24
SaHole2018, Ts_26
SaHole2018, Ts_28
SaHole2018, Ts_30
SaHole2018, Ts_35
SaHole2018, Ts_40
SaHole2018, Ts_45
SaHole2018, Ts_50
SaHole2018, Ts_55
SaHole2018, Ts_60
SaPond2006, Ts_0
SaPond2006, Ts_16
SaPond2006, Ts_33
SaPond2006, Tair_edg_111
SaPond2006, Tair_edg_9
SaPond2006, Tw_fx_edg_0
SaPond2006, Tw_fx_edg_20
SaPond2006, Tw_fx_edg_33
SaPond2006, Tair_cen_108
SaPond2006, Tair_cen_5
SaPond2006, Tw_5
SaPond2006, Tw_10
SaPond2006, Tw_15
SaPond2006, Tw_fx_cen_67
SaPond2006, Tw_fx_cen_86
SaPond2006, Tw_fx_cen_101
SaPond2006, PA_uS_1
SaPond2006, PA_uS_2
SaPond2006, PA_uS_3
SaPond2006, PA_uS_4
SaPond2006, PA_uS_5
SaPond2006, NetRad_1
SaPond2006, NetRad_2
SaPond2006, ATT_dw
SaPond2006, ATT_up
SaPond2006, CTT_dw
SaPond2006, CTT_up
SaPond2006, WT
SaPond2014, Tw_40
SaPond2014, Tw_30
SaPond2014, Tw_20
SaPond2014, Tw_10
SaPond2014, Ts_0
SaPond2014, Ts_10
SaPond2014, Ts_20
SaPond2014, Ts_30
SaSnow2012, ice_2
SaSnow2012, ice_3
SaSnow2012, ice_4
SaSnow2012, water_2
SaSnow2012, water_3
SaSnow2012, water_4
SaSnow2012, rho_2
SaSnow2012, rho_3
SaSnow2012, rho_4
SaSnow2012, cap_highFq_2
SaSnow2012, cap_lowFq_2
SaSnow2012, cap_highFq_3
SaSnow2012, cap_lowFq_3
SaSnow2012, cap_highFq_4
SaSnow2012, cap_lowFq_4
SaSnow2012, phi_highFq_2
SaSnow2012, phi_lowFq_2
SaSnow2012, phi_highFq_3
SaSnow2012, phi_lowFq_3
SaSnow2012, phi_highFq_4
SaSnow2012, phi_lowFq_4
SaSnow2012, Tsn_m4
SaSnow2012, Tsn_00
SaSnow2012, Tsn_05
SaSnow2012, Tsn_10
SaSnow2012, Tsn_15
SaSnow2012, Tsn_20
SaSnow2012, Tsn_25
SaSnow2012, Tsn_30
SaSnow2012, Tsn_35
SaSnow2012, Tsn_40
SaSnow2012, Tsn_45
SaSnow2012, Tsn_50
SaSnow2012, Ts_00_1
SaSnow2012, Ts_00_2
SaSnow2012, Ts_00_3
SaSnow2012, Ts_00_4
SaSnow2012, Tair_80
SaSnow2012, Ts_00
SaSnow2012, Ts_05
SaSnow2012, Ts_10
SaSnow2012, Ts_20
SaSnow2012, Ts_40
SaSnow2012, Ts_60
SaSnow2012, Ts_80
SaSnow2012, Ts_100
SaSnow2012, Dsn_0
SaSnow2012, Dsn_1
SaSnow2012, Dsn_2
SaSnow2012, Dsn_3
SaSnow2012, Dsn_4
SaSnow2012, Dsn_5
SaSnow2012, Dsn_6
SaSnow2012, Dsn_7
SaSnow2012, Dsn_8
SaSnow2012, Dsn_9
SaSnow2016, Tair_170
SaSnow2016, Tair_sd_170
SaSnow2016, Dsn
TVCSoil2016, Ts_2
TVCSoil2016, Ts_5
TVCSoil2016, Ts_10
TVCSoil2016, Ts_20
TVCSoil2016, E2_h_2
TVCSoil2016, E2_h_5
TVCSoil2016, E2_h_10
TVCSoil2016, E2_h_20
TVCSoil2016, E2_v_0
TVCSoil2016, E2_a_v_0
TVCSoil2016, E2_b_v_0
TVCSoil2016, E2_sn_v_0
TVCSoil2016, vwc_h_2
TVCSoil2016, vwc_h_5
TVCSoil2016, vwc_h_10
TVCSoil2016, vwc_h_20
TVCSoil2016, vwc_v_0
TVCSoil2016, vwc_a_v_0
TVCSoil2016, vwc_b_v_0
TVCSoil2016, cond_h_2
TVCSoil2016, cond_h_5
TVCSoil2016, cond_h_10
TVCSoil2016, cond_h_20
TVCSoil2016, cond_v_0
TVCSoil2016, cond_a_v_0
TVCSoil2016, cond_b_v_0
TVCSoil2016, cond_sn_v_0
